fund_id,fonds,veld,oud,nieuw
194,Pensioenkring Wolters Kluwer NL (Hnp),deelnemers_gepensioneerd,,3094
194,Pensioenkring Wolters Kluwer NL (Hnp),deelnemers_slapers,,3326
194,Pensioenkring Wolters Kluwer NL (Hnp),deelnemers_actief,,750
195,Pensioenkring Xerox (Hnp),deelnemers_totaal,,4540
195,Pensioenkring Xerox (Hnp),deelnemers_gepensioneerd,,2463
195,Pensioenkring Xerox (Hnp),deelnemers_slapers,,2056
195,Pensioenkring Xerox (Hnp),deelnemers_actief,,21
198,Rijn- en Binnenvaart,deelnemers_totaal,21255,21099
198,Rijn- en Binnenvaart,deelnemers_gepensioneerd,3620,3806
198,Rijn- en Binnenvaart,deelnemers_slapers,13288,17121
198,Rijn- en Binnenvaart,deelnemers_actief,4347,172
207,Pensioenfonds British American Tobacco,deelnemers_totaal,,2181
207,Pensioenfonds British American Tobacco,deelnemers_gepensioneerd,,1318
207,Pensioenfonds British American Tobacco,deelnemers_slapers,,836
207,Pensioenfonds British American Tobacco,deelnemers_actief,,27
209,Kring DC (Centraal Beheer),deelnemers_gepensioneerd,,1350
209,Kring DC (Centraal Beheer),deelnemers_slapers,,20876
209,Kring DC (Centraal Beheer),deelnemers_actief,,24743
210,Kring DB Evenwicht (Centraal Beheer),deelnemers_gepensioneerd,,1456
210,Kring DB Evenwicht (Centraal Beheer),deelnemers_slapers,,1182
210,Kring DB Evenwicht (Centraal Beheer),deelnemers_actief,,15
211,Kring DB Koopkracht (Centraal Beheer),deelnemers_gepensioneerd,,96
211,Kring DB Koopkracht (Centraal Beheer),deelnemers_slapers,,1160
211,Kring DB Koopkracht (Centraal Beheer),deelnemers_actief,,157
212,Kring DB Premie (Centraal Beheer),deelnemers_gepensioneerd,,289
212,Kring DB Premie (Centraal Beheer),deelnemers_slapers,,4241
212,Kring DB Premie (Centraal Beheer),deelnemers_actief,,842
213,Kring DB Stabiliteit (Centraal Beheer),deelnemers_gepensioneerd,,98
213,Kring DB Stabiliteit (Centraal Beheer),deelnemers_slapers,,1367
213,Kring DB Stabiliteit (Centraal Beheer),deelnemers_actief,,310
214,Kring HPE (Centraal Beheer),deelnemers_gepensioneerd,,3332
214,Kring HPE (Centraal Beheer),deelnemers_slapers,,3633
214,Kring HPE (Centraal Beheer),deelnemers_actief,,205
215,Kring RBS / NatWest (Centraal Beheer),deelnemers_gepensioneerd,,347
215,Kring RBS / NatWest (Centraal Beheer),deelnemers_slapers,,1454
215,Kring RBS / NatWest (Centraal Beheer),deelnemers_actief,,12
216,Kring equensWorldline (Centraal Beheer),deelnemers_gepensioneerd,,937
216,Kring equensWorldline (Centraal Beheer),deelnemers_slapers,,1480
216,Kring equensWorldline (Centraal Beheer),deelnemers_actief,,468
217,Kring Sligro Food Group (Centraal Beheer),deelnemers_gepensioneerd,,1325
217,Kring Sligro Food Group (Centraal Beheer),deelnemers_slapers,,6438
217,Kring Sligro Food Group (Centraal Beheer),deelnemers_actief,,5013
218,Kring Deutsche Bank Nederland (Centraal Beheer),deelnemers_gepensioneerd,,590
218,Kring Deutsche Bank Nederland (Centraal Beheer),deelnemers_slapers,,1386
218,Kring Deutsche Bank Nederland (Centraal Beheer),deelnemers_actief,,440
219,Kring Grolsch (Centraal Beheer),deelnemers_gepensioneerd,,686
